time,open,high,low,close,tick_volume,spread,real_volume
2026-06-26 19:45:00,59964.2,60102.92,59943.51,60045.95,2697,1200,0
2026-06-26 19:50:00,60045.74,60083.29,59908.03,60002.43,2653,1200,0
2026-06-26 19:55:00,60002.43,60057.01,59925.2,59935.83,2373,1200,0
2026-06-26 20:00:00,59935.83,60104.99,59907.35,60062.14,3122,1200,0
2026-06-26 20:05:00,60062.27,60166.33,60009.35,60160.52,3223,1200,0
2026-06-26 20:10:00,60160.37,60208.73,60084.94,60115.29,3004,1200,0
2026-06-26 20:15:00,60126.09,60134.05,59930.06,60015.08,3183,1200,0
2026-06-26 20:20:00,60014.19,60140.48,59954.04,60012.63,3334,1200,0
2026-06-26 20:25:00,60012.61,60160.8,59984.25,60088.41,2466,1200,0
2026-06-26 20:30:00,60088.41,60127.17,60018.26,60047.77,2853,1200,0
2026-06-26 20:35:00,60047.77,60047.77,59848.5,59908.9,2917,1200,0
2026-06-26 20:40:00,59919.7,60047.18,59826.13,59958.03,2412,1200,0
2026-06-26 20:45:00,59958.24,60017.67,59917.72,59931.2,2419,1200,0
2026-06-26 20:50:00,59930.29,59966.34,59872.07,59931.31,2485,1200,0
2026-06-26 20:55:00,59931.11,60016.62,59851.51,59920.81,3419,1200,0
2026-06-26 21:00:00,59931.61,60043.52,59910.18,60007.79,2931,1200,0
2026-06-26 21:05:00,60007.72,60068.59,59966.99,59994.89,2995,1200,0
2026-06-26 21:10:00,59995.04,60066.05,59948.59,59986.63,2852,1200,0
2026-06-26 21:15:00,59997.43,60021.25,59877.35,59929.02,2968,1200,0
2026-06-26 21:20:00,59918.22,59996.97,59884.01,59898.35,1917,1200,0
2026-06-26 21:25:00,59898.34,59956.87,59696.21,59738.22,2579,1200,0
2026-06-26 21:30:00,59738.35,59796.01,59668.66,59776.23,2765,1200,0
2026-06-26 21:35:00,59776.23,59776.23,59652.19,59675.27,1925,1200,0
2026-06-26 21:40:00,59673.58,59712.96,59632.76,59671.89,1883,1200,0
2026-06-26 21:45:00,59672.12,59682.92,59536.97,59591.88,2850,1200,0
2026-06-26 21:50:00,59591.85,59592.48,59507.88,59545.59,2777,1200,0
2026-06-26 21:55:00,59545.45,59594.91,59460.25,59577.89,3009,1200,0
2026-06-26 22:00:00,59577.88,59630.15,59508.97,59598.24,2995,1200,0
2026-06-26 22:05:00,59598.26,60018.07,59583.45,59958.13,3450,1200,0
2026-06-26 22:10:00,59961.26,59979.86,59838.31,59932.84,3219,1200,0
2026-06-26 22:15:00,59932.84,59932.84,59826.53,59888.42,2563,1200,0
2026-06-26 22:20:00,59888.44,59895.59,59771.81,59829.66,2564,1200,0
2026-06-26 22:25:00,59818.86,59882.12,59810.08,59846.4,2663,1200,0
2026-06-26 22:30:00,59846.32,60002.89,59808.14,59938.1,3197,1200,0
2026-06-26 22:35:00,59938.1,59948.9,59775.39,59817.03,2618,1200,0
2026-06-26 22:40:00,59817.03,59904.09,59775.92,59787.01,2964,1200,0
2026-06-26 22:45:00,59786.92,59831.24,59739.68,59764.56,2516,1200,0
2026-06-26 22:50:00,59775.36,59844.13,59747.58,59779.81,2880,1200,0
2026-06-26 22:55:00,59779.8,59799.29,59625.7,59631.32,3740,1200,0
2026-06-26 23:00:00,59629.18,59913.72,59629.18,59703.14,4426,1200,0
2026-06-26 23:05:00,59703.13,59732.25,59581.37,59599.07,2894,1200,0
2026-06-26 23:10:00,59600.88,59643.31,59574.11,59619.09,2725,1200,0
2026-06-26 23:15:00,59619.1,59718.85,59619.1,59669.14,2104,1200,0
2026-06-26 23:20:00,59669.16,59704.0,59590.06,59667.82,1817,1200,0
2026-06-26 23:25:00,59667.85,59698.61,59617.56,59683.4,2025,1200,0
2026-06-26 23:30:00,59683.38,59688.57,59501.26,59546.05,3038,1200,0
2026-06-26 23:35:00,59546.04,59620.52,59461.28,59558.59,2660,1200,0
2026-06-26 23:40:00,59558.36,59602.09,59515.12,59556.74,2013,1200,0
2026-06-26 23:45:00,59556.76,59647.36,59530.83,59631.37,2315,1200,0
2026-06-26 23:50:00,59642.17,59703.02,59615.28,59628.91,2050,1200,0
2026-06-27 00:45:00,59933.33,59933.35,59922.53,59933.35,4,1200,0
2026-06-27 00:55:00,59829.53,59855.54,59814.84,59826.25,286,1200,0
2026-06-27 01:00:00,59826.22,59862.49,59671.15,59703.77,1746,1200,0
2026-06-27 01:05:00,59703.71,59783.21,59647.63,59780.13,1146,1200,0
2026-06-27 01:10:00,59780.13,59863.87,59758.49,59821.13,1370,1200,0
2026-06-27 01:15:00,59821.03,59888.86,59813.43,59877.81,1440,1200,0
2026-06-27 01:20:00,59867.01,59892.55,59811.06,59830.5,931,1200,0
2026-06-27 01:25:00,59830.5,59849.75,59789.64,59789.64,700,1200,0
2026-06-27 01:30:00,59789.64,59833.17,59762.57,59814.74,1697,1200,0
2026-06-27 01:35:00,59814.82,59876.8,59774.83,59852.52,1105,1200,0
2026-06-27 01:40:00,59852.52,59894.94,59832.45,59860.83,881,1200,0
2026-06-27 01:45:00,59860.83,59894.93,59811.55,59873.41,752,1200,0
2026-06-27 01:50:00,59873.41,59953.26,59859.2,59940.35,1176,1200,0
2026-06-27 01:55:00,59940.35,59992.3,59922.63,59939.71,1395,1200,0
2026-06-27 02:00:00,59939.69,60034.99,59912.42,59994.31,1293,1200,0
2026-06-27 02:05:00,59983.51,60017.89,59960.36,59979.53,1072,1200,0
2026-06-27 02:10:00,59979.76,60001.77,59950.49,59984.15,1126,1200,0
2026-06-27 02:15:00,59984.2,59997.59,59888.85,59905.42,1025,1200,0
2026-06-27 02:20:00,59905.46,59995.64,59877.23,59963.1,837,1200,0
2026-06-27 02:25:00,59963.1,59969.22,59870.23,59873.74,710,1200,0
2026-06-27 02:30:00,59873.74,59917.78,59817.8,59898.38,1176,1200,0
2026-06-27 02:35:00,59898.31,59959.42,59886.38,59951.7,752,1200,0
2026-06-27 02:40:00,59951.72,60001.16,59924.29,59974.63,963,1200,0
2026-06-27 02:45:00,59974.63,60008.86,59963.83,59982.26,1108,1200,0
2026-06-27 02:50:00,59982.27,60012.42,59949.19,59994.74,874,1200,0
2026-06-27 02:55:00,59994.74,60028.02,59964.68,59999.61,857,1200,0
2026-06-27 03:00:00,59999.7,60038.15,59965.55,60007.49,1045,1200,0
2026-06-27 03:05:00,60007.49,60050.38,59999.79,60043.98,983,1200,0
2026-06-27 03:10:00,60043.97,60106.43,59985.38,60013.84,1291,1200,0
2026-06-27 03:15:00,60024.64,60039.23,59971.31,59993.71,1304,1200,0
2026-06-27 03:20:00,59982.91,59993.65,59931.96,59955.7,1404,1200,0
2026-06-27 03:25:00,59955.65,59976.88,59934.21,59947.81,772,1200,0
2026-06-27 03:30:00,59947.81,59965.05,59777.78,59827.94,1808,1200,0
2026-06-27 03:35:00,59827.92,59892.16,59808.02,59892.16,846,1200,0
2026-06-27 03:40:00,59892.18,59919.08,59832.23,59876.81,942,1200,0
2026-06-27 03:45:00,59876.86,59967.24,59850.04,59967.24,967,1200,0
2026-06-27 03:50:00,59967.24,59985.85,59931.92,59964.19,982,1200,0
2026-06-27 03:55:00,59964.18,59984.66,59940.33,59960.66,629,1200,0
2026-06-27 04:00:00,59960.65,59982.09,59867.54,59868.95,905,1200,0
2026-06-27 04:05:00,59868.89,59902.45,59866.58,59878.72,869,1200,0
2026-06-27 04:10:00,59878.73,59907.46,59861.64,59868.81,761,1200,0
2026-06-27 04:15:00,59868.8,59909.69,59839.52,59907.95,763,1200,0
2026-06-27 04:20:00,59907.97,59926.36,59870.58,59918.46,795,1200,0
2026-06-27 04:25:00,59917.74,59917.75,59871.53,59908.54,833,1200,0
2026-06-27 04:30:00,59908.55,59908.56,59830.97,59881.11,1044,1200,0
2026-06-27 04:35:00,59891.91,59915.94,59849.81,59877.94,880,1200,0
2026-06-27 04:40:00,59877.96,59901.35,59863.28,59868.88,732,1200,0
2026-06-27 04:45:00,59868.92,59907.29,59862.83,59876.69,905,1200,0
2026-06-27 04:50:00,59876.69,59909.03,59846.37,59862.44,536,1200,0
2026-06-27 04:55:00,59862.56,59886.65,59829.74,59856.2,652,1200,0
2026-06-27 10:00:00,60268.88,60302.39,60225.91,60241.4,834,1200,0
2026-06-27 10:05:00,60241.4,60273.21,60208.75,60208.75,751,1200,0
2026-06-27 10:10:00,60206.54,60230.08,60188.62,60229.78,691,1200,0
2026-06-27 10:15:00,60229.81,60265.88,60206.37,60224.41,768,1200,0
2026-06-27 10:20:00,60224.4,60356.17,60224.4,60306.82,1114,1200,0
2026-06-27 10:25:00,60306.82,60338.68,60289.53,60323.6,752,1200,0
2026-06-27 10:30:00,60323.6,60358.62,60279.86,60353.41,795,1200,0
2026-06-27 10:35:00,60353.41,60353.41,60301.73,60343.64,839,1200,0
2026-06-27 10:40:00,60343.63,60375.11,60313.28,60340.63,798,1200,0
2026-06-27 10:45:00,60340.49,60414.65,60340.49,60391.58,1214,1200,0
2026-06-27 10:50:00,60402.38,60453.28,60372.59,60428.12,901,1200,0
2026-06-27 10:55:00,60428.12,60486.52,60388.03,60441.63,1048,1200,0
2026-06-27 11:00:00,60442.5,60453.38,60342.74,60362.91,1269,1200,0
2026-06-27 11:05:00,60373.71,60444.72,60348.26,60409.69,1133,1200,0
2026-06-27 11:10:00,60420.49,60420.53,60369.74,60393.69,690,1200,0
2026-06-27 11:15:00,60393.67,60439.36,60342.06,60345.44,957,1200,0
